op_id,asset_id,crew_id,date,op_type,ammo_expended
OP-0001,AR_001,ARC-001,2024-11-10,Border Vigil,0
OP-0002,AR_002,ARC-002,2024-10-15,Live Fire Exercise,200
OP-0003,AR_003,ARC-003,2024-12-01,Patrol,0
OP-0004,AR_004,ARC-004,2024-11-20,Training,50
OP-0005,AR_005,ARC-005,2024-09-05,Live Fire Exercise,150
OP-0006,AR_006,ARC-006,2024-10-22,Strike Mission,400
OP-0007,AR_007,ARC-007,2024-11-30,Recon,0
OP-0008,AR_008,ARC-008,2024-12-10,Logistics,0
OP-0009,AR_009,ARC-009,2024-10-01,Border Vigil,0
OP-0010,AR_010,ARC-010,2024-11-15,Counter-Insurgency,100
OP-0011,AR_011,ARC-011,2024-09-20,Live Fire Exercise,300
OP-0012,AR_012,ARC-012,2024-12-05,Training,75
OP-0013,AR_013,ARC-013,2024-10-28,Strike Mission,500
OP-0014,AR_014,ARC-014,2024-11-08,Logistics,0
OP-0015,AR_015,ARC-015,2024-12-15,Border Vigil,0
OP-0016,AR_016,ARC-016,2024-09-12,Patrol,0
OP-0017,AR_017,ARC-017,2024-10-05,Recon,0
OP-0018,AR_018,ARC-018,2024-11-25,Training,25
OP-0019,AR_019,ARC-019,2024-12-08,Live Fire Exercise,180
OP-0020,AR_020,ARC-020,2024-10-18,Strike Mission,350
