squadron_id,squadron_name,base_location,established_year,state
SQ-01,Flying Bullets,Ambala Air Force Station,1965,Punjab
SQ-02,Winged Arrows,Tezpur Air Force Station,1972,Assam
SQ-03,Eagle Squadron,Gwalior Air Force Base,1980,Madhya Pradesh
SQ-04,Night Hunters,Gorakhpur Air Force Station,1968,Uttar Pradesh
SQ-05,Phoenix Flight,Pune Air Force Station,1975,Maharastra
SQ-06,Tigers,Kalaikunda Air Force Station,1962,West Bengal
SQ-07,Battle Axes,Jodhpur Air Force Station,1971,Rajashthan
SQ-08,Black Cobras,Sulur Air Force Station,1978,Tamil Nadu
SQ-09,Flying Daggers,Hasimara Air Force Station,1985,Assam
SQ-10,Rhinos,Chabua Air Force Station,1969,Assam
